t_s,iz_id,x_m,y_m,guven,u_px,v_px,h,s,v
899.937,1,12.952,24.452,0.925,1453.2,578.0,99,44,145
899.937,2,16.892,18.476,0.903,1312.7,372.3,118,108,205
899.937,3,19.6,11.069,0.889,1158.0,251.3,60,19,166
899.937,4,5.133,14.231,0.886,549.9,364.3,127,23,150
899.937,5,9.477,14.3,0.882,824.0,326.7,101,38,182
899.937,6,21.859,12.193,0.816,1251.2,264.3,91,37,197
899.937,7,26.27,21.924,0.802,1621.1,401.1,97,31,177
899.937,8,27.976,20.285,0.78,1593.9,370.3,62,30,190
899.937,9,20.831,5.836,0.773,1067.9,199.6,115,23,239
899.937,10,28.011,5.138,0.772,1223.1,200.0,105,7,253
899.937,11,34.048,14.183,0.74,1513.8,288.6,62,14,209
899.937,12,26.931,8.717,0.644,1278.8,229.5,20,72,171
899.937,13,18.752,13.361,0.563,1197.4,281.1,16,35,190
899.937,14,17.528,14.429,0.558,1191.1,298.3,27,26,193
899.937,15,49.239,15.581,0.479,1659.3,302.9,125,106,157
900.037,1,13.057,24.465,0.922,1457.8,576.5,90,32,143
900.037,2,16.98,18.465,0.899,1315.2,371.7,118,120,198
900.037,3,20.222,10.978,0.863,1173.8,250.1,75,27,177
900.037,4,5.165,14.153,0.882,550.9,362.3,126,22,148
900.037,5,9.512,14.29,0.885,825.8,326.3,102,50,192
900.037,6,21.795,12.166,0.823,1248.8,264.0,92,38,197
900.037,7,27.001,21.667,0.818,1621.9,394.4,99,36,178
900.037,8,27.654,20.211,0.871,1588.0,369.9,62,22,191
900.037,9,21.028,5.84,0.782,1073.5,199.7,111,27,232
900.037,10,28.031,5.134,0.781,1223.4,200.0,110,6,254
900.037,11,34.058,14.181,0.794,1513.9,288.6,58,10,213
900.037,12,26.968,8.684,0.607,1278.8,229.3,20,82,185
900.037,14,17.503,14.567,0.751,1194.7,300.5,27,24,193
900.037,15,49.377,15.532,0.434,1659.3,302.5,125,107,157
900.137,1,13.161,24.528,0.922,1464.9,576.9,87,27,141
900.137,2,17.135,18.395,0.891,1317.4,369.7,119,115,201
900.137,3,20.585,10.94,0.864,1183.1,249.6,76,25,169
900.137,4,5.214,14.091,0.879,553.2,360.4,126,21,149
900.137,5,9.576,14.285,0.892,829.4,325.8,102,47,191
900.137,6,22.289,11.678,0.79,1248.1,258.1,94,46,218
900.137,7,27.121,21.629,0.803,1622.1,393.5,96,48,176
900.137,8,27.498,20.167,0.862,1584.8,369.6,62,22,192
900.137,9,21.31,5.832,0.691,1081.0,199.7,60,27,230
900.137,10,28.331,4.853,0.784,1223.7,198.2,135,7,255
900.137,11,34.118,14.142,0.802,1513.7,288.2,58,10,217
900.137,12,26.751,8.815,0.606,1277.4,230.3,19,84,171
900.137,14,17.511,14.821,0.805,1203.2,304.4,25,14,187
900.137,15,49.417,15.519,0.448,1659.3,302.4,125,107,157
900.237,1,13.365,24.586,0.92,1475.2,575.3,90,26,146
900.237,2,17.272,18.345,0.882,1319.8,368.1,118,113,200
900.237,3,20.614,11.288,0.794,1193.2,253.6,81,22,172
900.237,4,5.257,14.152,0.87,557.0,361.3,118,19,149
900.237,5,9.683,14.194,0.884,832.9,323.4,102,45,192
900.237,6,19.032,14.468,0.645,1239.9,296.7,90,24,177
900.237,7,27.207,21.673,0.866,1624.3,393.9,91,48,178
900.237,8,27.728,20.003,0.839,1583.0,366.6,64,20,192
900.237,9,21.39,5.947,0.669,1085.7,200.7,49,27,234
900.237,10,27.542,5.655,0.708,1224.4,203.6,101,6,253
900.237,11,34.193,14.118,0.796,1514.1,288.0,58,9,222
900.237,12,26.407,9.111,0.772,1277.2,232.8,20,63,164
900.237,15,49.487,15.494,0.439,1659.2,302.2,125,107,157
900.337,1,13.572,24.665,0.914,1486.4,574.3,100,41,152
900.337,2,17.549,18.191,0.885,1322.6,363.9,119,93,205
900.337,4,5.291,14.18,0.873,559.6,361.5,122,20,149
900.337,5,9.808,14.065,0.882,836.4,320.2,102,54,195
900.337,6,18.314,15.104,0.649,1238.3,307.4,60,25,179
900.337,7,27.289,21.721,0.871,1626.6,394.4,92,43,178
900.337,8,28.011,19.822,0.848,1581.4,363.3,66,22,189
900.337,9,21.573,5.9,0.798,1089.7,200.4,40,30,239
900.337,10,29.821,3.467,0.679,1224.9,189.9,150,10,255
900.337,11,34.22,14.104,0.795,1514.1,287.8,58,10,220
900.337,12,26.38,9.195,0.682,1278.6,233.6,17,59,163
900.337,15,49.522,15.488,0.454,1659.3,302.1,126,107,157
900.437,1,13.758,24.731,0.906,1496.0,573.4,101,82,153
900.437,2,17.699,18.14,0.886,1325.3,362.4,119,77,208
900.437,4,5.307,14.206,0.869,561.1,361.9,122,20,150
900.437,5,9.912,13.947,0.872,839.1,317.4,103,61,198
900.437,6,18.316,15.259,0.696,1243.5,309.9,12,28,191
900.437,7,27.675,21.733,0.834,1631.1,393.4,96,55,179
900.437,8,28.152,19.711,0.847,1580.1,361.4,62,24,188
900.437,9,21.58,5.982,0.615,1091.6,201.1,37,34,239
900.437,10,29.072,4.222,0.739,1225.5,194.4,150,12,255
900.437,11,34.236,14.095,0.8,1514.1,287.7,58,9,235
900.437,12,26.469,9.237,0.736,1281.4,234.1,20,62,163
900.437,15,49.573,15.477,0.431,1659.4,302.0,127,109,156
900.437,3,21.488,11.598,0.665,1225.3,257.2,90,26,176
900.537,1,13.829,24.775,0.904,1500.6,573.6,102,76,152
900.537,2,17.786,18.129,0.894,1327.5,361.9,119,48,208
900.537,4,5.339,14.126,0.858,562.0,359.8,122,21,151
900.537,5,9.976,13.88,0.873,840.8,315.9,103,64,206
900.537,6,18.495,15.445,0.571,1255.1,312.5,16,24,184
900.537,7,28.088,21.704,0.798,1634.6,391.7,92,40,178
900.537,8,28.111,19.654,0.837,1578.0,360.7,65,31,188
900.537,9,21.73,6.02,0.676,1096.5,201.5,90,31,238
900.537,10,30.933,2.546,0.325,1227.9,185.0,150,16,255
900.537,11,34.155,14.098,0.778,1513.2,287.8,58,9,227
900.537,12,26.588,9.203,0.632,1283.0,233.9,35,52,163
900.537,15,49.499,15.5,0.469,1659.4,302.2,128,109,156
900.537,3,21.752,11.734,0.757,1235.9,258.8,99,39,196
900.637,1,13.866,24.798,0.91,1503.0,573.8,101,64,154
900.637,2,17.831,18.142,0.903,1329.3,361.9,118,42,207
900.637,4,5.331,14.132,0.876,561.5,360.0,122,21,149
900.637,5,10.015,13.887,0.871,843.1,315.7,102,54,201
900.637,6,18.871,15.591,0.792,1271.2,314.2,15,31,189
900.637,7,28.367,21.766,0.854,1639.2,391.8,94,42,168
900.637,8,28.073,19.627,0.842,1576.8,360.3,60,36,189
900.637,9,21.946,6.032,0.742,1102.5,201.7,104,34,240
900.637,10,32.801,0.886,0.569,1230.4,176.8,153,26,214
900.637,11,34.133,14.088,0.771,1512.7,287.7,54,9,236
900.637,12,27.04,8.96,0.519,1286.5,231.9,26,44,147
900.637,15,49.457,15.509,0.455,1659.3,302.3,128,109,156
900.637,3,21.911,12.327,0.734,1256.2,265.9,75,14,176
900.637,19,21.937,10.983,0.833,1220.7,250.1,91,36,200
900.737,1,13.956,24.853,0.888,1508.7,574.2,101,83,153
900.737,2,17.992,18.106,0.886,1332.8,360.7,118,31,207
900.737,4,5.378,14.037,0.891,563.2,357.5,123,21,145
900.737,5,10.028,13.944,0.878,845.4,316.7,100,36,195
900.737,6,19.316,15.585,0.84,1283.9,313.3,28,22,193
900.737,7,28.549,21.898,0.811,1644.6,393.3,98,59,169
900.737,8,28.487,19.431,0.857,1576.5,356.7,58,29,187
900.737,9,22.251,5.926,0.714,1108.2,201.0,113,32,236
900.737,10,32.606,1.204,0.595,1232.7,178.5,150,16,248
900.737,11,34.021,14.132,0.815,1512.4,288.1,34,7,249
900.737,15,48.878,15.65,0.449,1658.5,303.4,148,105,145
900.737,3,22.29,12.533,0.769,1271.4,268.4,60,26,188
900.737,19,22.113,10.673,0.855,1217.1,246.7,91,38,205
900.837,1,14.406,24.778,0.9,1518.2,563.9,102,108,157
900.837,2,18.129,18.12,0.878,1337.3,360.5,118,41,200
900.837,4,5.476,13.906,0.879,567.6,353.7,123,21,147
900.837,5,10.068,13.904,0.884,846.5,315.7,99,31,184
900.837,6,19.606,15.67,0.86,1294.9,314.2,27,15,187
900.837,7,28.988,21.875,0.814,1648.3,391.7,99,65,160
900.837,8,28.691,19.308,0.861,1575.6,354.6,58,24,187
900.837,9,22.468,5.835,0.778,1111.9,200.4,109,34,236
900.837,10,30.342,3.462,0.642,1234.4,190.5,150,12,255
900.837,11,33.981,14.136,0.804,1512.0,288.1,33,7,241
900.837,15,48.718,15.673,0.526,1658.1,303.6,144,112,154
900.837,3,22.487,12.685,0.82,1280.4,270.3,65,22,191
900.837,19,22.239,10.382,0.829,1212.9,243.5,92,35,200
900.937,1,14.547,24.746,0.906,1520.7,560.5,104,101,159
900.937,2,18.289,18.117,0.876,1341.9,359.9,120,70,192
900.937,4,5.625,13.804,0.885,575.6,350.0,123,20,151
900.937,5,10.112,13.898,0.899,848.8,315.4,98,30,174
900.937,6,19.93,16.032,0.78,1315.5,319.4,14,25,198
900.937,7,29.302,21.902,0.848,1652.0,391.2,98,50,161
900.937,8,28.766,19.188,0.892,1573.3,352.8,58,18,190
900.937,9,22.639,5.766,0.741,1114.8,199.9,107,29,240
900.937,10,29.214,4.585,0.674,1235.3,197.3,150,12,253
900.937,11,33.966,14.136,0.812,1511.9,288.1,39,7,243
900.937,15,48.574,15.707,0.504,1657.8,303.9,131,109,155
900.937,3,22.768,12.833,0.807,1291.3,272.1,91,27,192
900.937,19,22.206,10.277,0.73,1209.3,242.4,92,34,198
901.037,1,14.666,24.725,0.919,1523.0,557.9,102,91,159
901.037,2,18.38,18.125,0.854,1344.8,359.7,119,88,198
901.037,4,5.761,13.821,0.892,584.7,348.9,122,19,153
901.037,5,10.209,13.823,0.889,852.0,313.5,99,27,174
901.037,6,20.152,16.297,0.551,1330.1,323.3,115,47,201
901.037,7,29.404,21.982,0.853,1655.1,392.1,94,49,158
901.037,8,28.763,19.135,0.879,1571.8,352.0,58,19,190
901.037,9,22.728,5.792,0.648,1117.6,200.2,108,26,244
901.037,10,29.377,4.561,0.797,1237.9,197.3,150,14,254
901.037,11,34.001,14.117,0.807,1511.9,287.9,40,8,244
901.037,15,48.441,15.742,0.47,1657.7,304.2,123,104,150
901.037,3,22.807,13.198,0.848,1302.4,276.6,45,19,189
901.037,19,22.195,10.149,0.665,1205.8,241.0,92,30,200
901.037,12,27.141,9.044,0.625,1290.4,232.8,22,82,169
901.137,1,14.746,24.729,0.912,1525.4,556.7,101,80,159
901.137,2,18.446,18.114,0.834,1346.2,359.3,119,51,200
901.137,4,5.856,13.834,0.848,591.0,348.2,122,18,155
901.137,5,10.358,13.717,0.881,857.2,310.8,99,31,176
901.137,7,29.673,22.062,0.851,1659.6,392.6,92,49,157
901.137,8,28.778,19.119,0.877,1571.6,351.8,58,18,190
901.137,9,23.002,5.664,0.711,1121.9,199.3,110,24,238
901.137,10,29.445,4.601,0.78,1240.0,197.7,150,15,252
901.137,11,34.043,14.091,0.813,1511.8,287.7,40,8,245
901.137,15,48.475,15.73,0.412,1657.7,304.1,123,104,150
901.137,3,23.285,13.367,0.789,1318.1,278.7,60,14,188
901.137,19,22.235,10.026,0.731,1203.7,239.7,90,29,182
901.137,12,26.899,9.294,0.829,1291.4,235.0,17,75,163
901.237,1,14.805,24.742,0.909,1527.7,556.3,101,67,159
901.237,2,18.431,18.112,0.825,1345.7,359.3,119,33,198
901.237,4,5.894,13.831,0.884,593.4,347.8,123,18,152
